Mughal,مغل,
Mirza,مرزا,Mughal
Baig,بیگ,Mughal
Lagryal,لگریال,Mughal
Babri,بابری,Mughal
Ginhal,گنہال,Mughal
Mangval,منگوال,Mughal
Chughtai,چغتائی,Mughal
Changezi,چنگیزی,Mughal
Salour,سالور,Mughal
Meer,میر,Mughal
Battla,بٹلہ,Mughal
Pathan,پٹھان,Mughal
Mughal zai,مغلزئی,Mughal
Mughal Khel,مغل خیل,Mughal
Khan,خان,Mughal
Kamangar,کمان گر,Mughal
Orya Khel,اوریا خیل,Mughal
Manjotha,منجوٹھا,Mughal
Lal Khel,لال خیل,Mughal
Barlas,برلاس,Mughal
Numbeli,نمبیلی,Mughal
Syed,سیّد,
Shah,شاہ,Syed
Bukhari,بخاری,Syed
Gilani,گیلانی,Syed
Jilani,جیلانی,Syed
Andrabi,اندرابی,Syed
Qadri,قادری,Syed
Hamdani,حمدانی,Syed
Gakhar / Kyani,گکھّڑ /کیانی,
Rajpoot,راجپوت,Gakhar / Kyani
Kanwaal,کنوال,Gakhar / Kyani
Ghazial,غازیال,Gakhar / Kyani
Trewaal,تری وال,Gakhar / Kyani
Salori,سلوری,Gakhar / Kyani
Jastryal,جستریال,Gakhar / Kyani
Manghraal,منگھرال,Gakhar / Kyani
Shandaal,شندال,Gakhar / Kyani
Sonaal,سونال,Gakhar / Kyani
Banjaal,بنجال,Gakhar / Kyani
Sadhaal,سدھال,Gakhar / Kyani
Malik (Taili),ملک (تیلی),
Nayee,نائی,
Machi,ماچھی,
Marasi,میراثی,
Dome,ڈوم,
Muslim Sheikh,مسلم شیخ,
Naai,نائی,
Kumhaar,کمہار,
Darzi,درزی,
Tarkhan,ترکھان,
Mughal (Lohaar),لوہار (مغل),
Ansari,انصاری,
Ansari (Jolahay),انصاری (جولاہے),
Rehmani /Kumhar,رحمانی/کمہار,
Jatt,جٹ,
Chaddhar,چدھڑ,Jatt
Bhango,بھنگو,Jatt
Sapra,سپرا,Jatt
Kharal,کھرل,Jatt
Bhutta,بھٹہ,Jatt
Langah,لنگاہ,Jatt
Cheena,چھینا,Jatt
Somra,سومرا,Jatt
Nowal,نول,Jatt
Taheem,تہیم,Jatt
Haral,ہرل,Jatt
Maral,مرل,Jatt
Haans,ہانس,Jatt
Khagga,کھگہ,Jatt
Jhandeer,جھندیر,Jatt
Tararr,تارڑ,Jatt
Warraich,وڑائچ,Jatt
Saahi,ساہی,Jatt
Hanjra,ہنجرا,Jatt
Cheema,چیمہ,Jatt
Bajwa,باجوہ,Jatt
Dev,دیو,Jatt
Ghumman,گھمن,Jatt
Kahloon,کاہلوں,Jatt
Saraye,سرائے,Jatt
Goraya,گورایہ,Jatt
Dhotar,دھوتڑ,Jatt
lodheek,لوڈیک/ لودھیک,Jatt
Chatha,چٹھہ,Jatt
Saansi,سانسی,Jatt
Dhilon,ڈھلوں,Jatt
Virk,ورک,Jatt
Sindhu,سندھو,Jatt
Bhalar,بھلر,Jatt
Maan,مان,Jatt
Heer,ہیر,Jatt
Buttar,بٹر,Jatt
Oddi,اوڈی,Jatt
Bal,بل,Jatt
Punnon,پنوں,Jatt
Maahal,ماہل,Jatt
Olakh,اولکھ,Jatt
Gill,گل,Jatt
Sidhu,سدھو,Jatt
Barar,برار,Jatt
Dhaariwal,دھاریوال,Jatt
Sira,سرا,Jatt
Maangat,مانگٹ,Jatt
Dhendsa,ڈھینڈسا,Jatt
Gandhi,گندھی,Jatt
Chaahal,چاہل,Jatt
Sher Gill,شیرگل,Jatt
Randhawa,رندھاوا,Jatt
Khang,کھنگ,Jatt
Sohal,سوہل,Jatt
Benias,بینئس,Jatt
Boota,بوٹا,Jatt
Athwal,اٹھوال,Jatt
Khatwal,کھتوال,Jatt
Dagar,داگڑ,Jatt
Jakhar,جاکھڑ,Jatt
Sangwan,سانگوان,Jatt
Sahrawat,سہراوت,Jatt
Wehiya,ویہیا,Jatt
Goliya,گولیا,Jatt
Raathi,راٹھی,Jatt
Khatri,کھتری,Jatt
Dalal,دلال,Jatt
Ahlawat,اہلاوت,Jatt
Deswaal,دیسوال,Jatt
Dhankar,دھنکر,Jatt
Phogat,پھوگٹ,Jatt
Nain,نین,Jatt
Pwaniya,پوانیا,Jatt
Bahniwal,بہنیوال,Jatt
Bhatti,بھٹی,Jatt
Rathore,راٹھور,Jatt
Toor,طور,Jatt
Chadhar,چدھڑ,Jatt
