Name,urduName,Parent
Punjabi,پنجابی,
Jatt,جٹ,Punjabi
chaddhar,چدھڑ,Jatt
bhango,بھنگو,Jatt
sapra,سپرا,Jatt
kharal,کھرل,Jatt
Bhutta,بھٹہ,Jatt
lngah,لنگاہ,Jatt
cheena,چھینا,Jatt
somra,سومرا,Jatt
nowal,نول,Jatt
taheem,تہیم,Jatt
haral,ہرل,Jatt
maral,مرل,Jatt
hanas,ہانس,Jatt
khagga,کھگہ,Jatt
jhandeer,جھندیر,Jatt
tarar,تارڑ,Jatt
waraich,وڑائچ,Jatt
sahi,ساہی,Jatt
hanjra,ہنجرا,Jatt
cheema,چیمہ,Jatt
bajwa,باجوہ,Jatt
dev,دیو,Jatt
ghumman,گھمن,Jatt
kahlon,کاہلوں,Jatt
saraye,سرائے,Jatt
goraya,گورایہ,Jatt
dhotar,دھوتڑ,Jatt
lodekay,لوڈیک/ لودھیک,Jatt
chatha,چٹھہ,Jatt
Dhilon,ڈھلوں,Jatt
virk,ورک,Jatt
sindhu,سندھو,Jatt
bhalar,بھلر,Jatt
maan,مان,Jatt
heer,ہیر,Jatt
buttar,بٹر,Jatt
oddi,اوڈی,Jatt
bal,بل,Jatt
punnon,پنوں,Jatt
mahal,ماہل,Jatt
olakh,اولکھ,Jatt
gill,گل,Jatt
sidhu,سدھو,Jatt
barar,برار,Jatt
dhariwal,دھاریوال,Jatt
sira,سرا,Jatt
mangat,مانگٹ,Jatt
dhendsa,ڈھینڈسا,Jatt
gandhi,گندھی,Jatt
chahal,چاہل,Jatt
randhawa,رندھاوا,Jatt
khang,کھنگ,Jatt
sohal,سوہل,Jatt
benias,بینئس,Jatt
boota,بوٹا,Jatt
athwal,اٹھوال,Jatt
khatwal,کھتوال,Jatt
dagar,داگڑ,Jatt
jakhar,جاکھڑ,Jatt
sangwan,سانگوان,Jatt
sahrawat,سہراوت,Jatt
wehiya,ویہیا,Jatt
goliya,گولیا,Jatt
gondal, گوندل, Jatt
raathi,راٹھی,Jatt
khatri,کھتری,Jatt
dalal,دلال,Jatt
ahlawat,اہلاوت,Jatt
deswal,دیسوال,Jatt
dhankar,دھنکر,Jatt
phogat,پھوگٹ,Jatt
nain,نین,Jatt
pwaniya,پوانیا,Jatt
bahniwal,بہنیوال,Jatt
bhatti,بھٹی,Jatt
rathore,راٹھور,Jatt
toor,طور,Jatt
chadhar,چدھڑ,Jatt
naru,نارو,Jatt
joiya,جوئیہ,Jatt
siyal,سیال,Jatt
kharal,کھرل,Jatt
minhas,منہاس,Jatt
kaliyar,کلیار,Jatt
janjua,جنجوعہ,Jatt
tiwana,ٹوانہ,Jatt
khachi,کھچی,Jatt
manj,منج,Jatt
Dhadhi,ڈھڈی,Jatt
panwar,پنوار,Jatt
tomar,تومر,Jatt
yadu,یادو,Jatt
khokhar,کھوکھر,Jatt
dogar,ڈوگر,Jatt
chohan,چوہان,Jatt
bagri,باگڑی,Jatt
binias,بئنیس,Jatt
tarar,تارڑ,Jatt
rawat,راوت,Jatt
mekan,میکن,Jatt
nay pal,نے پال,Jatt
rathi,راٹھی,Jatt
dharewal,دھاریوال,Jatt
Rajpoot,راجپوت,Punjabi
tanwar,تنوار,Rajpoot
chohan,چوہان,Rajpoot
mandahar,منداہار,Rajpoot
pandeer,پنڈیر,Rajpoot
rawat,راوت,Rajpoot
gorwa/ gor,گوروا/ گور,Rajpoot
jato,جاتو,Rajpoot
bagri,باگڑی,Rajpoot
ranghar,رانگھڑ,Rajpoot
barya,باریہ,Rajpoot
rathor,راٹھور,Rajpoot
bar gujjar,بار گوجر,Rajpoot
bhatti,بھٹی,Rajpoot
rathore,راٹھور,Rajpoot
toor,طور,Rajpoot
chadhar,چدھڑ,Rajpoot
naru,نارو,Rajpoot
joiya,جوئیہ,Rajpoot
siyal,سیال,Rajpoot
kharal,کھرل,Rajpoot
minhas,منہاس,Rajpoot
kaliyar,کلیار,Rajpoot
janjua,جنجوعہ,Rajpoot
tiwana,ٹوانہ,Rajpoot
khachi,کھچی,Rajpoot
manj,منج,Rajpoot
Dhadhi,ڈھڈی,Rajpoot
panwar,پنوار,Rajpoot
tomar,تومر,Rajpoot
yadu,یادو,Rajpoot
khokhar,کھوکھر,Rajpoot
dogar,ڈوگر,Rajpoot
chohan,چوہان,Rajpoot
bagri,باگڑی,Rajpoot
binias,بئنیس,Rajpoot
tarar,تارڑ,Rajpoot
rawat,راوت,Rajpoot
mekan,میکن,Rajpoot
nay pal,نے پال,Rajpoot
rathi,راٹھی,Rajpoot
dharewal,دھاریوال,Rajpoot
bhatti,بھٹی,Rajpoot
panwar,پنور,Rajpoot
panwaar,پنوار,Rajpoot
joiya,جوئیہ,Rajpoot
,بھاگل,Rajpoot
,بالند,Rajpoot
,بھوملہ,Rajpoot
,باجوہ,Rajpoot
,بریاہ,Rajpoot
,بدھن,Rajpoot
,بھاٹیا,Rajpoot
,بگھیال,Rajpoot
,بھوچرہ,Rajpoot
Arain,آرائیں,Punjabi
Ambalwi,انبالوی,Arain
jalndhri,جالندھری,Arain
mehar,مہر,Arain
gordaspuri,گرداسپوری,Arain
patiyalwi,پٹیالوی,Arain
amartasri,امرتسری,Arain
Kashmiri,کشمیری,
Meer,میر,Kashmiri
Khawaja,خواجہ,Kashmiri
Lone,لون,Kashmiri
Dar,ڈار,Kashmiri
Butt,بٹ,Kashmiri
Rathore,راٹھور,Kashmiri
Banday,بانڈے,Kashmiri
Sheikh,شیخ,Kashmiri
Gujjar,گجر,Punjabi
khatana,کھٹانہ,Gujjar
bajar,بجاڑ,Gujjar
cheechi,چیچی,Gujjar
kalas,کالس,Gujjar
,پھامگڑے,Gujjar
,پسوال,Gujjar
,پنڈیا,Gujjar
,پساریے,Gujjar
,پور,Gujjar
,پشکر,Gujjar
,پریہار,Gujjar
,پھوملہ,Gujjar
,پٹیل,Gujjar
,چندیل,Gujjar
,چھوکر,Gujjar
,چال,Gujjar
,چھمبر,Gujjar
,چرن,Gujjar
,دھکڑ,Gujjar
,رلائٹے,Gujjar
,راٹھی,Gujjar
,راگھو,Gujjar
,ٹوپہ,Gujjar
,ٹھیکر,Gujjar
,ٹھیڈہ,Gujjar
,ٹھلہ,Gujjar
,دھونچک,Gujjar
,چھابری,Gujjar
,چھالہ,Gujjar
,چھوھن,Gujjar
,چھوہان,Gujjar
,چھوکر گوت,Gujjar
,چاڑ,Gujjar
,چاپ/ چاوڑ,Gujjar
,چاورہ,Gujjar
,دیو,Gujjar
,دہڑ,Gujjar
,دھونچک,Gujjar
,دھکڑ,Gujjar
,سمہ,Gujjar
,سانگو,Gujjar
,سرامدنہ,Gujjar
,سوگی,Gujjar
,سنگرانہ,Gujjar
,سیسود,Gujjar
,گھلوٹ,Gujjar
,سالبانیہ,Gujjar
,سلنگی,Gujjar
,چلوکیا,Gujjar
,ساگر/ سنگرانہ,Gujjar
,سگراسی,Gujjar
,سپوریا,Gujjar
,ہاڈا,Gujjar
,کسانہ,Gujjar
,کناریے,Gujjar
,کھوبر,Gujjar
,کھٹانہ,Gujjar
,کھچی,Gujjar
,کولی,Gujjar
,لاوی,Gujjar
,لالی,Gujjar
,لولائی,Gujjar
,لغاری,Gujjar
,لاشاری,Gujjar
Pashtoon,پشتون,
Khan, خان, Pashtoon
achakzai,اچکزئی,Pashtoon
afridi,آفریدی,Pashtoon
alizai,علیزئی,Pashtoon
akakhel,اکاخیل,Pashtoon
bangash,بنگش,Pashtoon
durrani,درانی,Pashtoon
esakhel,عیسی خیل,Pashtoon
jadon,جدون,Pashtoon
kakakhel,کاکاخیل,Pashtoon
kakyzai,ککےزئی,Pashtoon
khatak,خٹک,Pashtoon
khizerkhel,خضرخیل,Pashtoon
khakwani,خاکوانی,Pashtoon
lodhi,لودھی,Pashtoon
mahmodkhel,محمودخیل,Pashtoon
marwat,مروت,Pashtoon
moosakhel,موسی خیل,Pashtoon
niazi,نیازی,Pashtoon
miana,میانہ,Pashtoon
mandokhel,مندوخیل,Pashtoon
noorzai,نورزئی,Pashtoon
orakzai,اورکزئی,Pashtoon
popalzai,پوپلزئی,Pashtoon
sawati,سواتی,Pashtoon
saduzai,سدوزئی,Pashtoon
salarzai,سالارزئی,Pashtoon
sulemani,سلیمانی,Pashtoon
sulemankhel,سلیمان خیل,Pashtoon
soori,سوری,Pashtoon
tanoli,تنولی,Pashtoon
tareen,ترین,Pashtoon
tarkhel,ترخیل,Pashtoon
umerzai,عمرزئی,Pashtoon
usmankhel,عثمان خیل,Pashtoon
wazir,وزیر,Pashtoon
yousafzai,یوسف زئی,Pashtoon
yousafkhel,یوسف خیل,Pashtoon
mahsod,محسود,Pashtoon
burki,برکی,Pashtoon
Saraiki,سرائیکی,
bhangar,بھنگر,Saraiki
bukhari,بخاری,Saraiki
chachar,چاچڑ,Saraiki
chandio,چانڈیو,Saraiki
chughtai,چغتائی,Saraiki
hashmi,ہاشمی,Saraiki
kalwar,کلوار,Saraiki
khokhar,کھوکھر,Saraiki
langah,لنگاہ,Saraiki
makhdoom,مخدوم,Saraiki
